...1,X1,X,long,lat,group,order,region,subregion,State,GeoRegion,REGION_CODE
1,1,1,-87.4620056152344,30.3896808624268,1,1,alabama,NA,AL,South,5
2,2,2,-87.4849319458008,30.3724918365479,1,2,alabama,NA,AL,South,5
3,3,3,-87.525032043457,30.3724918365479,1,3,alabama,NA,AL,South,5
4,4,4,-87.53076171875,30.3323860168457,1,4,alabama,NA,AL,South,5
5,5,5,-87.5708694458008,30.3266544342041,1,5,alabama,NA,AL,South,5
6,6,6,-87.5880584716797,30.3266544342041,1,6,alabama,NA,AL,South,5
7,7,7,-87.5937881469727,30.3094673156738,1,7,alabama,NA,AL,South,5
8,8,8,-87.5937881469727,30.286548614502,1,8,alabama,NA,AL,South,5
9,9,9,-87.6740036010742,30.275089263916,1,9,alabama,NA,AL,South,5
10,10,10,-87.8115158081055,30.2579021453857,1,10,alabama,NA,AL,South,5
11,11,11,-87.8802642822266,30.2464408874512,1,11,alabama,NA,AL,South,5
12,12,12,-87.9203720092773,30.2464408874512,1,12,alabama,NA,AL,South,5
13,13,13,-87.9547500610352,30.2464408874512,1,13,alabama,NA,AL,South,5
14,14,14,-88.0063171386719,30.2407131195068,1,14,alabama,NA,AL,South,5
15,15,15,-88.0177764892578,30.2521705627441,1,15,alabama,NA,AL,South,5
16,16,16,-88.0120468139648,30.269359588623,1,16,alabama,NA,AL,South,5
17,17,17,-87.9948577880859,30.275089263916,1,17,alabama,NA,AL,South,5
18,18,18,-87.9547500610352,30.275089263916,1,18,alabama,NA,AL,South,5
19,19,19,-87.9031829833984,30.2808208465576,1,19,alabama,NA,AL,South,5
20,20,20,-87.8286972045898,30.286548614502,1,20,alabama,NA,AL,South,5
21,21,21,-87.8000564575195,30.286548614502,1,21,alabama,NA,AL,South,5
22,22,22,-87.8000564575195,30.3266544342041,1,22,alabama,NA,AL,South,5
23,23,23,-87.8172378540039,30.3438453674316,1,23,alabama,NA,AL,South,5
24,24,24,-87.8401565551758,30.3839530944824,1,24,alabama,NA,AL,South,5
25,25,25,-87.8516235351562,30.4011421203613,1,25,alabama,NA,AL,South,5
26,26,26,-87.8745346069336,30.4125995635986,1,26,alabama,NA,AL,South,5
27,27,27,-87.9031829833984,30.4240608215332,1,27,alabama,NA,AL,South,5
28,28,28,-87.9261016845703,30.4469795227051,1,28,alabama,NA,AL,South,5
29,29,29,-87.9318313598633,30.4928131103516,1,29,alabama,NA,AL,South,5
30,30,30,-87.9432907104492,30.527193069458,1,30,alabama,NA,AL,South,5
31,31,31,-87.9203720092773,30.5615692138672,1,31,alabama,NA,AL,South,5
32,32,32,-87.9146423339844,30.5844879150391,1,32,alabama,NA,AL,South,5
33,33,33,-87.9261016845703,30.6188640594482,1,33,alabama,NA,AL,South,5
34,34,34,-87.9203720092773,30.670431137085,1,34,alabama,NA,AL,South,5
35,35,35,-87.9490203857422,30.6990776062012,1,35,alabama,NA,AL,South,5
36,36,36,-87.989128112793,30.7907524108887,1,36,alabama,NA,AL,South,5
37,37,37,-88.0063171386719,30.7964820861816,1,37,alabama,NA,AL,South,5
38,38,38,-88.0177764892578,30.802209854126,1,38,alabama,NA,AL,South,5
39,39,39,-88.0349655151367,30.7907524108887,1,39,alabama,NA,AL,South,5
40,40,40,-88.0464248657227,30.7563762664795,1,40,alabama,NA,AL,South,5
41,41,41,-88.0521545410156,30.727725982666,1,41,alabama,NA,AL,South,5
42,42,42,-88.0521545410156,30.7105388641357,1,42,alabama,NA,AL,South,5
43,43,43,-88.063606262207,30.6876201629639,1,43,alabama,NA,AL,South,5
44,44,44,-88.0693435668945,30.6818885803223,1,44,alabama,NA,AL,South,5
45,45,45,-88.0808029174805,30.6303253173828,1,45,alabama,NA,AL,South,5
46,46,46,-88.0808029174805,30.6131362915039,1,46,alabama,NA,AL,South,5
47,47,47,-88.0979919433594,30.6074066162109,1,47,alabama,NA,AL,South,5
48,48,48,-88.1094436645508,30.5959453582764,1,48,alabama,NA,AL,South,5
49,49,49,-88.1151809692383,30.5844879150391,1,49,alabama,NA,AL,South,5
50,50,50,-88.1094436645508,30.5558376312256,1,50,alabama,NA,AL,South,5
51,51,51,-88.1209106445312,30.4813556671143,1,51,alabama,NA,AL,South,5
52,52,52,-88.1209106445312,30.4412479400635,1,52,alabama,NA,AL,South,5
53,53,53,-88.1266403198242,30.3896808624268,1,53,alabama,NA,AL,South,5
54,54,54,-88.1323699951172,30.3610343933105,1,54,alabama,NA,AL,South,5
55,55,55,-88.1438293457031,30.3438453674316,1,55,alabama,NA,AL,South,5
56,56,56,-88.161018371582,30.3381156921387,1,56,alabama,NA,AL,South,5
57,57,57,-88.172477722168,30.3381156921387,1,57,alabama,NA,AL,South,5
58,58,58,-88.1896591186523,30.3553047180176,1,58,alabama,NA,AL,South,5
59,59,59,-88.2240447998047,30.3782234191895,1,59,alabama,NA,AL,South,5
60,60,60,-88.2354965209961,30.3954105377197,1,60,alabama,NA,AL,South,5
61,61,61,-88.2870635986328,30.4011421203613,1,61,alabama,NA,AL,South,5
62,62,62,-88.3157119750977,30.4011421203613,1,62,alabama,NA,AL,South,5
63,63,63,-88.3329010009766,30.4011421203613,1,63,alabama,NA,AL,South,5
64,64,64,-88.35009765625,30.4240608215332,1,64,alabama,NA,AL,South,5
65,65,65,-88.3902053833008,30.4125995635986,1,65,alabama,NA,AL,South,5
66,66,66,-88.4073867797852,30.7334575653076,1,66,alabama,NA,AL,South,5
67,67,67,-88.4188461303711,30.9970169067383,1,67,alabama,NA,AL,South,5
68,68,68,-88.430305480957,31.123067855835,1,68,alabama,NA,AL,South,5
69,69,69,-88.4532241821289,31.432466506958,1,69,alabama,NA,AL,South,5
70,70,70,-88.4646835327148,31.6960258483887,1,70,alabama,NA,AL,South,5
71,71,71,-88.4761428833008,31.8908290863037,1,71,alabama,NA,AL,South,5
72,72,72,-88.430305480957,32.22314453125,1,72,alabama,NA,AL,South,5
73,73,73,-88.430305480957,32.3090896606445,1,73,alabama,NA,AL,South,5
74,74,74,-88.3902053833008,32.5783805847168,1,74,alabama,NA,AL,South,5
75,75,75,-88.35009765625,32.9221534729004,1,75,alabama,NA,AL,South,5
76,76,76,-88.3386306762695,32.985179901123,1,76,alabama,NA,AL,South,5
77,77,77,-88.2985305786133,33.2831192016602,1,77,alabama,NA,AL,South,5
78,78,78,-88.2756042480469,33.5294914245605,1,78,alabama,NA,AL,South,5
79,79,79,-88.2526931762695,33.7357559204102,1,79,alabama,NA,AL,South,5
80,80,80,-88.2068557739258,34.0623397827148,1,80,alabama,NA,AL,South,5
81,81,81,-88.2068557739258,34.0795288085938,1,81,alabama,NA,AL,South,5
82,82,82,-88.1839370727539,34.3144416809082,1,82,alabama,NA,AL,South,5
83,83,83,-88.166748046875,34.4634094238281,1,83,alabama,NA,AL,South,5
84,84,84,-88.1495513916016,34.5837326049805,1,84,alabama,NA,AL,South,5
85,85,85,-88.1094436645508,34.8988571166992,1,85,alabama,NA,AL,South,5
86,86,86,-88.1323699951172,34.9045906066895,1,86,alabama,NA,AL,South,5
87,87,87,-88.166748046875,34.9504280090332,1,87,alabama,NA,AL,South,5
88,88,88,-88.1896591186523,34.996265411377,1,88,alabama,NA,AL,South,5
89,89,89,-88.1839370727539,35.0134506225586,1,89,alabama,NA,AL,South,5
90,90,90,-87.989128112793,35.0134506225586,1,90,alabama,NA,AL,South,5
91,91,91,-87.6052474975586,35.0077209472656,1,91,alabama,NA,AL,South,5
92,92,92,-87.2270965576172,35.0019912719727,1,92,alabama,NA,AL,South,5
93,93,93,-87.2041702270508,35.0019912719727,1,93,alabama,NA,AL,South,5
94,94,94,-86.8260269165039,34.996265411377,1,94,alabama,NA,AL,South,5
95,95,95,-86.7801895141602,34.9905319213867,1,95,alabama,NA,AL,South,5
96,96,96,-86.3103637695312,34.9905319213867,1,96,alabama,NA,AL,South,5
97,97,97,-85.8519973754883,34.9848022460938,1,97,alabama,NA,AL,South,5
98,98,98,-85.6113510131836,34.9790725708008,1,98,alabama,NA,AL,South,5
99,99,99,-85.5884399414062,34.8415641784668,1,99,alabama,NA,AL,South,5
100,100,100,-85.5426025390625,34.6181106567383,1,100,alabama,NA,AL,South,5
101,101,101,-85.5254058837891,34.5837326049805,1,101,alabama,NA,AL,South,5
102,102,102,-85.4681167602539,34.2628746032715,1,102,alabama,NA,AL,South,5
103,103,103,-85.4280090332031,34.0795288085938,1,103,alabama,NA,AL,South,5
104,104,104,-85.4050903320312,33.9592094421387,1,104,alabama,NA,AL,South,5
105,105,105,-85.3936309814453,33.907642364502,1,105,alabama,NA,AL,South,5
106,106,106,-85.3477935791016,33.6612701416016,1,106,alabama,NA,AL,South,5
107,107,107,-85.3134155273438,33.4951095581055,1,107,alabama,NA,AL,South,5
108,108,108,-85.2962265014648,33.4320907592773,1,108,alabama,NA,AL,South,5
